Unnamed: 0,Selection ID,Best Back Price,Best Back Size,Best Lay Price,Best Lay Size,Last Price Traded,Total Matched,Status,Removal Date,Adjustment Factor,time_delta,back_probability,lay_probability,back_look_back_probs,lay_look_back_probs,lay_back_average,ema_back_one,ema_back_two,ema_lay_one,ema_lay_two,macd_back,macd_lay
2,38398733,6.2,19.07,14.5,9.58,,0.0,ACTIVE,,,1205,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16144083688123081,0.16130057536444678,0.06896111195234632,0.06896552684325688,0.00014026151678403487,-4.414890910561797e-06
2,38398733,6.2,19.07,14.5,9.58,,0.0,ACTIVE,,,1200,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16141768083498687,0.16129764599764632,0.06896178968912063,0.06896552409986328,0.0001200348373405491,-3.73441074265346e-06
2,38398733,6.2,19.07,14.5,9.58,,0.0,ACTIVE,,,1195,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16139808725739585,0.16129555359278885,0.06896236315869889,0.06896552214029644,0.00010253366460699631,-3.158981597556343e-06
2,38398733,6.2,19.07,14.5,9.58,,0.0,ACTIVE,,,1190,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.1613815080763573,0.16129405901789065,0.06896284840218818,0.06896552074060583,8.744905846663764e-05,-2.672338417650244e-06
2,38398733,6.2,19.07,14.5,9.58,,0.0,ACTIVE,,,1185,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16136747953855543,0.16129299146439194,0.06896325899283297,0.06896551974082682,7.448807416349235e-05,-2.260747993851342e-06
2,38398733,6.2,19.07,14.5,9.58,,0.0,ACTIVE,,,1180,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16135560923733847,0.16129222892617856,0.06896360641568625,0.06896551902669897,6.338031115990517e-05,-1.912611012719334e-06
2,38398733,6.2,19.07,14.5,9.68,,0.0,ACTIVE,,,1175,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16134556513630874,0.16129168425602616,0.06896390038886979,0.06896551851660764,5.3880880282575205e-05,-1.6181277378429781e-06
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1170,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16133706628159128,0.16129129520591728,0.06896414913540971,0.06896551815225668,4.5771075673994854e-05,-1.3690168469693287e-06
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1165,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.1613298749429842,0.1612910173129824,0.06896435961325119,0.068965517892006,3.885763000180398e-05,-1.1582787548120033e-06
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1160,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16132378996416283,0.1612908188180289,0.06896453770988628,0.06896551770611266,3.297114613393104e-05,-9.799962263773443e-07
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1155,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16131864113592936,0.16129067703591926,0.06896468840703905,0.0689655175733317,2.7964100010102744e-05,-8.291662926540599e-07
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1150,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16131428443511642,0.1612905757629838,0.06896481592001448,0.06896551747848817,2.3708672132610742e-05,-7.015584736896896e-07
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1145,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.161310597995967,0.16129050342517276,0.06896492381560906,0.06896551741074278,2.0094570794243483e-05,-5.93595133713265e-07
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1140,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.1613074787013021,0.16129045175530773,0.06896501511188141,0.06896551736235322,1.702694599436949e-05,-5.022504718094067e-07
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1135,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16130483929812411,0.1612904148482613,0.0689650923625734,0.06896551732778924,1.4424449862826538e-05,-4.24965215850559e-07
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1130,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16130260595697352,0.16129038848608523,0.06896515772854353,0.06896551730310069,1.2217470888281623e-05,-3.595745571571829e-07
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1125,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16130071620676917,0.1612903696559595,0.06896521303821057,0.06896551728546602,1.0346550809670063e-05,-3.042472554448672e-07
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1120,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16129911718736548,0.16129035620586968,0.06896525983869807,0.06896551727286981,8.760981495797848e-06,-2.574341717437312e-07
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1115,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.161297764170947,0.16129034659866268,0.06896529943911058,0.06896551726387253,7.4175722843128344e-06,-2.1782476194998068e-07
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1110,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16129661931090056,0.16129033973637197,0.06896533294715192,0.06896551725744589,6.2795745285892934e-06,-1.843102939713681e-07
2,38398733,6.2,19.06,14.5,9.68,,0.0,ACTIVE,,,1105,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16129565058316897,0.16129033483473573,0.06896536130010998,0.06896551725285543,5.315748433237788e-06,-1.55952745453658e-07
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1100,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.161294830890473,0.161290331333567,0.06896538529107449,0.06896551724957654,4.499556906012447e-06,-1.3195850205593995e-07
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1095,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16129413730434566,0.16129032883273217,0.06896540559112138,0.06896551724723447,3.8084716134922925e-06,-1.1165611309149615e-07
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1090,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16129355042377636,0.1612903270464216,0.06896542276808414,0.06896551724556158,3.223377354755197e-06,-9.447747743862589e-08
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1085,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.1612930538325254,0.16129032577048547,0.06896543730243725,0.06896551724436664,2.728062039936141e-06,-7.994192939564382e-08
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1080,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16129263363992846,0.16129032485910252,0.06896544960073603,0.06896551724351312,2.308780825938106e-06,-6.764277708792843e-08
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1075,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.16129227809234642,0.1612903242081147,0.06896546000698885,0.06896551724290347,1.9538842317146088e-06,-5.7235914618924966e-08
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1070,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.1612919772443924,0.1612903237431234,0.06896546881227969,0.068965517242468,1.6535012689888884e-06,-4.8430188304138255e-08
2,38398733,6.2,19.06,14.5,9.58,,0.0,ACTIVE,,,1065,0.16129032258064516,0.06896551724137931,0.16129032258064516,0.06896551724137931,0.11512791991101223,0.161291722680739,0.16129032341098676,0.0689654762629104,0.06896551724215694,1.3992697522335895e-06,-4.097924653778673e-08
