number,value,datetime_start,datetime_complete,duration,params_alpha,params_ent_coef,params_epsilon,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_vf_coef,state
13,-61.214996337890625,2023-04-18 22:47:45.226589,2023-04-18 22:53:46.777937,0 days 00:06:01.551348,0.9927948772944899,0.012554832293904226,0.08194332828743517,0.9720486704264668,2.5503043058384816e-05,0.06306059603447754,1902.7244716203008,0.9671184576530719,COMPLETE
14,-0.0,2023-04-18 22:47:47.286470,2023-04-18 22:55:03.855627,0 days 00:07:16.569157,0.995533602525613,0.07092161414335688,0.037712854939759545,0.9985383641858319,2.172212224024682e-05,0.0788981939567734,1474.7536199886465,0.9538784636175535,COMPLETE
15,-0.0,2023-04-18 22:49:57.494520,2023-04-18 22:54:53.410997,0 days 00:04:55.916477,0.9981972309310617,0.07566019313842554,0.00016473118625711213,0.9657366074443522,1.864521258329527e-05,0.20840256899394072,1554.4780885427501,0.5594047593753914,COMPLETE
16,-37.01499557495117,2023-04-18 22:51:10.173350,2023-04-18 22:56:32.316656,0 days 00:05:22.143306,0.9008876995007966,0.0739674699950385,1.1550470832349335e-05,0.9649317701951179,2.758703758423304e-05,0.2236870948237644,1524.832118567941,0.5903592739648638,COMPLETE
17,-61.214996337890625,2023-04-18 22:53:46.790608,2023-04-18 23:02:05.023344,0 days 00:08:18.232736,0.9631747392177412,0.07734620587074045,1.146327420486985e-05,0.9648981166873924,1.8835140642189282e-05,0.17470449049927517,2034.5108106669402,0.6018016822876728,COMPLETE
18,-55.243980407714844,2023-04-18 22:54:53.424647,2023-04-18 22:57:13.595039,0 days 00:02:20.170392,0.904140905396201,0.00018408254259778657,0.007237796919601566,0.9579398421853995,5.146627575511558e-05,0.04103848831847904,298.06702810425793,0.6181262184721799,COMPLETE
19,-82.67098236083984,2023-04-18 22:55:03.862903,2023-04-18 22:57:12.916536,0 days 00:02:09.053633,0.9080502838512168,0.0001687887340802401,1.1515256960145327e-05,0.9606217387948298,5.3668273214602094e-05,0.029986609550197864,302.615635370554,0.6308754775514099,COMPLETE
20,-82.84397888183594,2023-04-18 22:56:32.323203,2023-04-18 22:58:25.429163,0 days 00:01:53.105960,0.9673170241360717,0.00013754740285998608,0.004381117325710532,0.9797458774485829,4.779158352984985e-05,0.034997763481351266,302.93469895707267,0.502818460583471,COMPLETE
21,-55.47898483276367,2023-04-18 22:57:12.923498,2023-04-18 22:58:54.838986,0 days 00:01:41.915488,0.959118813027868,0.0001296761989726837,3.87599669180384e-05,0.9345834829546287,1.1242325396843952e-05,0.0306231081422925,297.45965509586995,0.5094568778154775,COMPLETE
22,-55.64398193359375,2023-04-18 22:57:13.597156,2023-04-18 22:58:42.780261,0 days 00:01:29.183105,0.9590131980614075,0.00012758003345289472,1.0064014103634519e-05,0.9380297111495928,1.1190631716168758e-05,0.033664730067140276,247.25402657456934,0.5034283473741434,COMPLETE
23,-0.0,2023-04-18 22:58:25.435247,2023-04-18 22:59:55.398751,0 days 00:01:29.963504,0.9680706684736964,3.065660742194851e-05,0.0005569024960018886,0.9840884637683951,1.1521566620927589e-05,0.03708493845050808,220.12871572125374,0.5010174210721614,COMPLETE
24,-80.83797454833984,2023-04-18 22:58:42.786679,2023-04-18 23:01:00.717318,0 days 00:02:17.930639,0.9703359370449305,0.0007112577942048103,0.0005705109518758414,0.9845054884363083,5.110951000033587e-05,0.049967707475639195,447.63600471004185,0.5380251635228448,COMPLETE
25,-0.0,2023-04-18 22:58:54.847779,2023-04-18 23:00:01.631918,0 days 00:01:06.784139,0.9728383326158042,0.0007522928511786551,0.0005644481171143305,0.9822657815267297,5.337793978585256e-05,0.0515850386815432,163.1242302917073,0.5479550224780303,COMPLETE
26,-0.0,2023-04-18 22:59:55.404326,2023-04-18 23:02:15.086508,0 days 00:02:19.682182,0.9797110575559023,3.842235727462332e-05,7.985121206558585e-05,0.9534657162533471,4.544532758119133e-05,0.026246907355974448,410.0070584397143,0.5545227281585885,COMPLETE
27,-82.99698638916016,2023-04-18 23:00:01.634955,2023-04-18 23:02:14.552671,0 days 00:02:12.917716,0.9349020201276486,4.832477330720001e-05,6.680395544725716e-05,0.9527772721621378,4.813779441290247e-05,0.027629571900426676,398.00873495056436,0.5592731997322822,COMPLETE
28,-0.23099999129772186,2023-04-18 23:01:00.721751,2023-04-18 23:04:27.249214,0 days 00:03:26.527463,0.9535860266434344,5.910105880720181e-06,0.00010706024629455778,0.9519274852395451,3.7489277091341286e-05,0.027460968825913458,772.5480805376717,0.5833556282381325,COMPLETE
